"MUNICIPIO","PERIODO","QTD_INTERNACOES"
"Fartura",2024-01-01 00:00:00,53
"Regente Feijó",2024-01-01 00:00:00,40
"Guará",2024-01-01 00:00:00,109
"Buritama",2024-01-01 00:00:00,30
"Teodoro Sampaio",2024-01-01 00:00:00,71
"Santa Rosa de Viterbo",2024-01-01 00:00:00,76
"Pedreira",2024-01-01 00:00:00,81
"Pedregulho",2024-01-01 00:00:00,64
"Colina",2024-01-01 00:00:00,52
"Miguelópolis",2024-01-01 00:00:00,81
"Monte Mor",2024-01-01 00:00:00,99
"Chavantes",2024-01-01 00:00:00,95
"Itaporanga",2024-01-01 00:00:00,84
"Conchal",2024-01-01 00:00:00,141
"Boituva",2024-01-01 00:00:00,193
"Presidente Venceslau",2024-01-01 00:00:00,157
"Auriflama",2024-01-01 00:00:00,131
"Novo Horizonte",2024-01-01 00:00:00,203
"Orlândia",2024-01-01 00:00:00,195
"Martinópolis",2024-01-01 00:00:00,176
"Ilha Solteira",2024-01-01 00:00:00,182
"Osvaldo Cruz",2024-01-01 00:00:00,173
"Pirassununga",2024-01-01 00:00:00,194
"Salto de Pirapora",2024-01-01 00:00:00,132
"Monte Alto",2024-01-01 00:00:00,203
"Capivari",2024-01-01 00:00:00,150
"Lençóis Paulista",2024-01-01 00:00:00,187
"Campos do Jordão",2024-01-01 00:00:00,201
"Monte Aprazível",2024-01-01 00:00:00,161
"Capão Bonito",2024-01-01 00:00:00,190
"Piedade",2024-01-01 00:00:00,248
"Presidente Epitácio",2024-01-01 00:00:00,227
"Garça",2024-01-01 00:00:00,258
"Itápolis",2024-01-01 00:00:00,181
"Apiaí",2024-01-01 00:00:00,213
"Socorro",2024-01-01 00:00:00,149
"Mairiporã",2024-01-01 00:00:00,250
"Rosana",2024-01-01 00:00:00,265
"Bertioga",2024-01-01 00:00:00,308
"Guaíra",2024-01-01 00:00:00,220
"Cajuru",2024-01-01 00:00:00,235
"Cajamar",2024-01-01 00:00:00,224
"Andradina",2024-01-01 00:00:00,200
"Caçapava",2024-01-01 00:00:00,333
"São Joaquim da Barra",2024-01-01 00:00:00,228
"Santa Fé do Sul",2024-01-01 00:00:00,203
"Dracena",2024-01-01 00:00:00,235
